0.001,5008,4995
0.0015,2259,2247
0.002,1231,1219
0.0023893,835.2,824
0.002389323893,1136,1115
0.00243673,1582,1546
0.0024851,2049,1999
0.002485124851,2364,2303
0.00271062,2207,2150
0.0029566,1958,1910
0.002956629566,2267,2210
0.003,2188,2135
0.0034157,1591,1553
0.003415734157,1687,1647
0.00355698,1530,1495
0.0037041,1392,1360
0.003704137041,1452,1419
0.004,1212,1185
0.005,706.8,690
0.006,451.8,439.8
0.008,220.8,213.1
0.01,126,120.2
0.0126575,69.57,65.21
0.012657626575,169.3,135.7
0.0136396,147.3,112.6
0.0146979,113.9,93.56
0.014698046979,157.2,120.7
0.015,149.7,115.4
0.0153467,141.6,109.7
0.015346853467,163.2,125.4
0.02,83.61,67.61
0.03,29.29,24.67
0.04,13.85,11.73
0.05,7.751,6.513
0.06,4.838,4.003
0.08,2.332,1.844
0.0855304,1.976,1.539
0.085531255304,8.046,2.264
0.1,5.398,2.007
0.15,1.957,1.044
0.2,0.9696,0.5753
0.3,0.3923,0.2393
0.4,0.2267,0.1334
0.5,0.158,0.08897
0.6,0.1226,0.06661
0.8,0.08751,0.04557
1,0.07031,0.036
1.25,0.05832,0.02955
1.5,0.05187,0.02616
2,0.04581,0.02345
3,0.0421,0.02309
4,0.04175,0.02437
5,0.04248,0.02587
6,0.04366,0.02731
8,0.04647,0.02975
10,0.04943,0.03167
15,0.05622,0.03463
20,0.06162,0.03578
